921 1167
1 2 167.16466867404984
2 3 92.90572186377375
2 326 266.5469034863101
2 1 167.16466867404984
3 2 92.90572186377375
3 4 200.69066842648584
3 835 61.54954911242495
4 872 64.45478046609708
4 874 59.095250477810616
4 186 98.03495147917582
4 3 200.69066842648584
5 300 158.34976041900202
5 700 59.04841671986891
5 832 57.59816998290398
6 272 81.5105267114608
6 621 92.69019945113995
6 765 60.203033850851725
6 713 115.95055922718743
7 459 24.54746848634964
7 765 101.37810891047071
7 629 154.16546509812207
8 754 11.874792684053809
8 757 24.326612113157964
8 56 71.69430339997197
9 10 5.503101673005892
9 542 128.2622273295993
9 651 134.8764516401373
10 9 5.503101673005892
10 271 121.12395043611849
10 574 168.94127711268723
11 572 54.97620172327853
11 915 70.41227741053135
11 869 18.098714130668306
11 740 126.74284795939778
12 170 180.18783890577527
12 565 57.39387785544824
12 801 59.37074347441213
13 185 95.84124109231021
13 566 109.24380063438352
13 835 45.70538505547981
14 368 202.69986130754336
15 310 215.00474241076418
16 837 33.31698521336278
17 62 104.15777385611565
18 304 143.54171543384138
19 256 42.62802484656664
20 646 58.47265903954069
21 74 232.11805849079408
22 25 139.4002129225083
22 120 117.3741763741404
22 762 128.6266745633257
23 142 267.1904463654388
23 105 105.933377065872
23 207 213.03154108046317
24 25 28.995985489788886
24 104 32.74517948731426
24 139 92.95943087755236
25 22 139.4002129225083
25 24 28.995985489788886
25 104 41.174257594492424
26 721 22.302242573915
26 374 61.74473224578292
26 154 144.33326613148284
27 476 52.51219879075913
27 444 282.22164221158675
27 820 50.062434846054884
28 240 113.5057313451747
28 88 114.88209714729774
28 86 190.18752739814929
29 30 18.00156848797444
29 295 27.11730043179971
29 296 86.56737557823669
30 29 18.00156848797444
30 295 23.060644962139556
30 60 61.64298236257868
31 51 148.62473359702585
31 581 38.19561924800681
31 762 38.863230400025486
32 57 245.6855581305441
32 508 98.92898307793926
32 793 109.89860860448519
33 118 90.62199645493696
34 293 31.350013068538825
35 719 16.52339105371011
